"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","timeout","failed_images","failed_audio","failed_video","test_part","rt","stimulus","response","end_time","button_pressed","stim0","stim1","stim2","trialnr"
"pavlovia","0","35","0.0-0.0","76226","","","","","","","","","","","","","","",""
"preload","1","4504","0.0-1.0","76226","true","false","[]","[]","[]","preload","","","","","","","","",""
"html-button-response","2","7788","0.0-2.0","76226","","","","","","","3281.7999999523163","<p>Welcome to the experiment. To begin, please read the following and press the button at the bottom of the screen.</p><p></p><p><strong>Project Name: A study on cognitive processes involved in visual perception</p></strong><p></p><p><strong>PARTICIPANT INFORMATION STATEMENT</strong></p><p></p><strong>(1) What is the study about?</strong><br>You are invited to participate in a study that investigates the cognitive processes involved in perceiving and recognizing visual stimuli.If you decide to participate, you will be asked to complete a task in which you will view pictures, letters, numbers, or words presented on a computer screen.<br><strong>(2) Who can participate?</strong><br>Anyone aged 18 years or over with access to a computer (not a phone/tablet)<br><strong>(3) Where is the study located?</strong><br>The study will be conducted in your browser<br><strong>(4) Who is carrying out the study?</strong><br>The study is being conducted by Sophia Shatek from the Computational Cognitive Neuroscience laboratory at the University of Sydney.<br><strong>(5) What does the study involve?</strong><br>In this study, you will be asked to perform tasks where you will see different stimuli appear on the computer screen.You will respond by pressing a key or using a computer mouse.<br><strong>(6) How much time will the study take?</strong><br>The study takes about 30 minutes<br><strong>(7)	Can I withdraw from the study?</strong><br>Being in this study is completely voluntary - you are not under any obligation to consent. You can withdraw at any time without having to give a reason and without penalty.<br><strong>(8) Will anyone else know the results?</strong><br>All aspects of the study, including results, will be strictly confidential and only the researchers will have access to information on participants.The results and data from the study may be submitted for publication or shared with other research labs, but individual participants will not be identifiable.<br><strong>(9) Will the study benefit me?</strong><br>You will be awarded 0.5 credits for your participation.<br><strong>(10) Can I tell other people about the study?</strong><br>Yes, please tell them to contact Dr Thomas Carlson by email at thomas.carlson@sydney.edu.au.<br><strong>(11) What if I require further information about the study or my involvement in it?</strong><br>When you have read this information, the investigator will discuss it with you further and answer any questions you may have.If you would like to know more at any stage, please feel free to contact Dr Thomas Carlson directly by email at thomas.carlson@sydney.edu.au.If you would like to be informed about the outcomes of the study, contact Dr Thomas Carlson directly by email at thomas.carlson@sydney.edu.au.<br><strong>(12) What if I have a complaint or any concerns?</strong><br>Any person with concerns or complaints about the conduct of a research study can contact The Manager,Human Ethics Administration, University of Sydney on +61 2 8627 8176 (Telephone); +61 2 8627 8177 (Facsimile) or ro.humanethics@sydney.edu.au (Email).</p><p></p><strong>By participating in this experiment, you consent to participate in this study and acknowledge that:</strong><br>1. The procedures required for the project and the times involved have been explained to me, and any questions I have about the project have been answered to my satisfaction.<br>2.	I have read the Above Information Statement and have been given the opportunity to discuss the information and my involvement in the project with the researcher/s.<br>3. I understand that allowing my data to be used in research reports is completely voluntary - I am not under any obligation to consent.<br>4. I understand that my involvement is strictly confidential. I understand that any research data gathered from the results of the study may be publishedhowever no information about me will be used in any way that is identifiable.</p><p></p>","0","","","","","",""
"html-button-response","3","21733","0.0-3.0","76226","","","","","","opening_instructions","13943.299999952316","<p>In this experiment, you will see three images appear on the screen.</p><p>You need to click the 'odd one out', or the image </p><p>that is MOST CONCEPTUALLY DIFFERENT to the other two. </p><p>(e.g., the word 'tree' and a picture of a tree are conceptually SIMILAR, </p><p> but the word 'tree' and the word 'boat' are conceptually DIFFERENT even though they look similar) </p><p>Just go with your intuition, don't spend too long thinking about each one.</p>","0","25569.200000047684","","","","",""
"html-button-response-mod","4","23011","0.0-4.0","76226","","","","","","triplet","1274.3000001907349","","","","2","stimuli/fish_uppercase.png","stimuli/fish_lowercase.png","stimuli/bird_uppercase.png","0"
"html-button-response-mod","5","25619","0.0-5.0","76226","","","","","","triplet","2096.300000190735","","","","1","stimuli/stim001_animate_fish_1.png","stimuli/tree_lowercase.png","stimuli/stim015_inanimate_boats_3.png","1"
"html-button-response-mod","6","28241","0.0-6.0","76226","","","","","","triplet","2109.0999999046326","","","","0","stimuli/stim003_animate_fish_3.png","stimuli/stim012_animate_face_4.png","stimuli/tools_lowercase.png","2"
"html-button-response-mod","7","30106","0.0-7.0","76226","","","","","","triplet","1362.3999998569489","","","","1","stimuli/stim006_animate_bird_2.png","stimuli/boats_uppercase.png","stimuli/stim001_animate_fish_1.png","3"
"html-button-response-mod","8","32825","0.0-8.0","76226","","","","","","triplet","2203.2000000476837","","","","0","stimuli/stim017_inanimate_tree_1.png","stimuli/stim023_inanimate_tools_3.png","stimuli/stim013_inanimate_boats_1.png","4"
"html-button-response-mod","9","35209","0.0-9.0","76226","","","","","","triplet","1875.0999999046326","","","","2","stimuli/tools_lowercase.png","stimuli/stim024_inanimate_tools_4.png","stimuli/stim017_inanimate_tree_1.png","5"
"html-button-response-mod","10","38423","0.0-10.0","76226","","","","","","triplet","2701.5999999046326","","","","1","stimuli/tree_lowercase.png","stimuli/stim009_animate_face_1.png","stimuli/stim003_animate_fish_3.png","6"
"html-button-response-mod","11","40880","0.0-11.0","76226","","","","","","triplet","1943.0999999046326","","","","0","stimuli/stim010_animate_face_2.png","stimuli/stim006_animate_bird_2.png","stimuli/tree_uppercase.png","7"
"html-button-response-mod","12","42985","0.0-12.0","76226","","","","","","triplet","1597.2000000476837","","","","1","stimuli/stim006_animate_bird_2.png","stimuli/stim015_inanimate_boats_3.png","stimuli/stim004_animate_fish_4.png","8"
"html-button-response-mod","13","45973","0.0-13.0","76226","","","","","","triplet","2478.100000143051","","","","2","stimuli/stim019_inanimate_tree_3.png","stimuli/tree_lowercase.png","stimuli/boats_lowercase.png","9"
"html-button-response-mod","14","48593","0.0-14.0","76226","","","","","","triplet","2114.7999999523163","","","","1","stimuli/stim008_animate_bird_4.png","stimuli/tools_uppercase.png","stimuli/stim009_animate_face_1.png","10"
"html-button-response-mod","15","50347","0.0-15.0","76226","","","","","","triplet","1237.7999999523163","","","","2","stimuli/stim006_animate_bird_2.png","stimuli/stim017_inanimate_tree_1.png","stimuli/stim022_inanimate_tools_2.png","11"
"html-button-response-mod","16","52710","0.0-16.0","76226","","","","","","triplet","1858.2000000476837","","","","1","stimuli/stim001_animate_fish_1.png","stimuli/stim015_inanimate_boats_3.png","stimuli/stim013_inanimate_boats_1.png","12"
"html-button-response-mod","17","55690","0.0-17.0","76226","","","","","","triplet","2465","","","","1","stimuli/stim007_animate_bird_3.png","stimuli/stim013_inanimate_boats_1.png","stimuli/tree_lowercase.png","13"
"html-button-response-mod","18","59382","0.0-18.0","76226","","","","","","triplet","3175.2000000476837","","","","2","stimuli/bird_lowercase.png","stimuli/boats_uppercase.png","stimuli/face_lowercase.png","14"
"html-button-response-mod","19","62189","0.0-19.0","76226","","","","","","triplet","2296.4000000953674","","","","1","stimuli/stim014_inanimate_boats_2.png","stimuli/stim020_inanimate_tree_4.png","stimuli/fish_uppercase.png","15"
"html-button-response-mod","20","66202","0.0-20.0","76226","","","","","","triplet","3504.7999999523163","","","","0","stimuli/stim019_inanimate_tree_3.png","stimuli/stim002_animate_fish_2.png","stimuli/stim008_animate_bird_4.png","16"
"html-button-response-mod","21","68231","0.0-21.0","76226","","","","","","triplet","1523.6000001430511","","","","2","stimuli/stim023_inanimate_tools_3.png","stimuli/tools_lowercase.png","stimuli/stim008_animate_bird_4.png","17"
"html-button-response-mod","22","72199","0.0-22.0","76226","","","","","","triplet","3465.2999999523163","","","","1","stimuli/stim021_inanimate_tools_1.png","stimuli/bird_uppercase.png","stimuli/boats_lowercase.png","18"
"html-button-response-mod","23","75099","0.0-23.0","76226","","","","","","triplet","2393.300000190735","","","","1","stimuli/fish_lowercase.png","stimuli/boats_lowercase.png","stimuli/stim007_animate_bird_3.png","19"
"html-button-response-mod","24","77373","0.0-24.0","76226","","","","","","triplet","1764.9000000953674","","","","2","stimuli/face_uppercase.png","stimuli/stim010_animate_face_2.png","stimuli/stim001_animate_fish_1.png","20"
"html-button-response-mod","25","79829","0.0-25.0","76226","","","","","","triplet","1950.7000000476837","","","","0","stimuli/tree_uppercase.png","stimuli/stim007_animate_bird_3.png","stimuli/bird_lowercase.png","21"
"html-button-response-mod","26","82015","0.0-26.0","76226","","","","","","triplet","1682.9000000953674","","","","0","stimuli/boats_uppercase.png","stimuli/stim009_animate_face_1.png","stimuli/stim011_animate_face_3.png","22"
"html-button-response-mod","27","85759","0.0-27.0","76226","","","","","","triplet","3235","","","","1","stimuli/stim016_inanimate_boats_4.png","stimuli/stim023_inanimate_tools_3.png","stimuli/tree_uppercase.png","23"
"html-button-response-mod","28","88109","0.0-28.0","76226","","","","","","triplet","1835.4000000953674","","","","2","stimuli/bird_lowercase.png","stimuli/stim019_inanimate_tree_3.png","stimuli/stim016_inanimate_boats_4.png","24"
"html-button-response-mod","29","91893","0.0-29.0","76226","","","","","","triplet","3280.300000190735","","","","0","stimuli/stim024_inanimate_tools_4.png","stimuli/stim003_animate_fish_3.png","stimuli/face_uppercase.png","25"
"html-button-response-mod","30","94094","0.0-30.0","76226","","","","","","triplet","1692.9000000953674","","","","2","stimuli/stim001_animate_fish_1.png","stimuli/stim011_animate_face_3.png","stimuli/face_lowercase.png","26"
"html-button-response-mod","31","96561","0.0-31.0","76226","","","","","","triplet","1960","","","","0","stimuli/tree_uppercase.png","stimuli/tools_lowercase.png","stimuli/stim024_inanimate_tools_4.png","27"
"html-button-response-mod","32","99255","0.0-32.0","76226","","","","","","triplet","2188.2000000476837","","","","1","stimuli/bird_lowercase.png","stimuli/stim001_animate_fish_1.png","stimuli/stim008_animate_bird_4.png","28"
"html-button-response-mod","33","101913","0.0-33.0","76226","","","","","","triplet","2151.4000000953674","","","","0","stimuli/face_uppercase.png","stimuli/boats_uppercase.png","stimuli/stim022_inanimate_tools_2.png","29"
