id	date	age	gender	ESL	R	L	Total
1	13/2/19	22	F	N	14	0	100
2	21/2/19	22	M	N	8	12	-20
3	22/2/19	19	F	Y	13	2	73
4	22/2/19	59	F	N	10	1	90
5	25/2/19	24	F	N	16	4	60
6	25/2/19	20	F	N	10	2	80
7	25/2/19	23	M	N	11	3	57
8	28/2/19	20	F	Y	2	18	-80
9	28/2/19	18	F	N	13	2	73
10	28/2/19	25	F	N	15	0	100
11	28/2/19	22	F	N	15	3	67
12	1/3/19	25	M	N	17	0	100
13	1/3/19	22	M	N	15	1	88
14	4/3/19	20	F	Y	14	1	87
15	4/3/19	17	F	N	10	8	22
16	14/3/19	23	F	Y	12	2	71
17	7/3/19	21	M	Y	13	1	86
18	7/3/19	26	F	N	10	1	82
19	8/3/19	20	F	N	10	0	100
20	8/3/19	29	F	Y	19	0	100
