eventnumber,condition,conditionlabel,istarget,presentationnumber,sequencenumber,stimC,stimL,stimR,streamnumber,stimnameL,stimnameR,stimnameC,response,rt,correct,time_stimon,time_stimoff,stimdur
0,2,left-right,0,0,4,-1,-1,5,0,,stim006_animate_bird_2.png,,0.0,0.0,0.0,30.732188436493743,30.832189094740897,0.1000006582471542
1,2,left-right,0,1,4,-1,11,-1,0,stim012_animate_face_4.png,,,0.0,0.0,0.0,30.93219267873792,31.032198700879235,0.10000602214131504
2,2,left-right,0,2,4,-1,-1,40,0,,tree_5_lower,,0.0,0.0,0.0,31.13219155726256,31.23220781935379,0.1000162620912306
3,2,left-right,0,3,4,-1,18,-1,0,stim019_inanimate_tree_3.png,,,0.0,0.0,0.0,31.332229445222765,31.432168419705704,0.09993897448293865
4,2,left-right,0,4,4,-1,9,-1,0,stim010_animate_face_2.png,,,0.0,0.0,0.0,31.53221003798535,31.632208989642095,0.09999895165674388
5,2,left-right,0,5,4,-1,-1,3,0,,stim004_animate_fish_4.png,,0.0,0.0,0.0,31.732205259322654,31.832214938593097,0.10000967927044258
6,2,left-right,0,6,4,-1,25,-1,0,fish_2_lower_it,,,0.0,0.0,0.0,31.932210964499973,32.032213329395745,0.10000236489577219
7,2,left-right,0,7,4,-1,-1,7,0,,stim008_animate_bird_4.png,,0.0,0.0,0.0,32.132227641064674,32.23222488601459,0.09999724494991824
8,2,left-right,0,8,4,-1,20,-1,0,stim021_inanimate_tools_1.png,,,0.0,0.0,0.0,32.33222920144908,32.432214012078475,0.0999848106293939
9,2,left-right,0,9,4,-1,-1,11,0,,stim012_animate_face_4.png,,0.0,0.0,0.0,32.5322346627363,32.63223800295964,0.10000334022333845
10,2,left-right,0,10,4,-1,-1,15,0,,stim016_inanimate_boats_4.png,,0.0,0.0,0.0,32.73224353743717,32.83223810046911,0.09999456303194165
11,2,left-right,0,11,4,-1,39,-1,0,boat_7_upper_it,,,0.0,0.0,0.0,32.932243878778536,33.03224526846316,0.10000138968462124
12,2,left-right,0,12,4,-1,3,-1,0,stim004_animate_fish_4.png,,,0.0,0.0,0.0,33.13223398011178,33.23241847072495,0.1001844906131737
