onset	duration	eventnumber	condition	conditionlabel	istarget	presentationnumber	sequencenumber	stimC	stimL	stimR	streamnumber	stimnameL	stimnameR	stimnameC	response	rt	correct	time_stimon	time_stimoff	stimdur
44693	100	0	2	left-right	0	0	4	-1	-1	5	0		stim006_animate_bird_2.png	NaN	0	0	0	30.7321884364937	30.8321890947409	0.100000658247154
44893	100	1	2	left-right	0	1	4	-1	11	-1	0	stim012_animate_face_4.png		NaN	0	0	0	30.9321926787379	31.0321987008792	0.100006022141315
45093	100	2	2	left-right	0	2	4	-1	-1	40	0		tree_5_lower	NaN	0	0	0	31.1321915572626	31.2322078193538	0.100016262091231
45293	100	3	2	left-right	0	3	4	-1	18	-1	0	stim019_inanimate_tree_3.png		NaN	0	0	0	31.3322294452228	31.4321684197057	0.0999389744829386
45493	100	4	2	left-right	0	4	4	-1	9	-1	0	stim010_animate_face_2.png		NaN	0	0	0	31.5322100379854	31.6322089896421	0.0999989516567439
45693	100	5	2	left-right	0	5	4	-1	-1	3	0		stim004_animate_fish_4.png	NaN	0	0	0	31.7322052593227	31.8322149385931	0.100009679270443
45893	100	6	2	left-right	0	6	4	-1	25	-1	0	fish_2_lower_it		NaN	0	0	0	31.9322109645	32.0322133293957	0.100002364895772
46093	100	7	2	left-right	0	7	4	-1	-1	7	0		stim008_animate_bird_4.png	NaN	0	0	0	32.1322276410647	32.2322248860146	0.0999972449499182
46293	100	8	2	left-right	0	8	4	-1	20	-1	0	stim021_inanimate_tools_1.png		NaN	0	0	0	32.3322292014491	32.4322140120785	0.0999848106293939
46493	100	9	2	left-right	0	9	4	-1	-1	11	0		stim012_animate_face_4.png	NaN	0	0	0	32.5322346627363	32.6322380029596	0.100003340223338
46693	100	10	2	left-right	0	10	4	-1	-1	15	0		stim016_inanimate_boats_4.png	NaN	0	0	0	32.7322435374372	32.8322381004691	0.0999945630319417
46893	100	11	2	left-right	0	11	4	-1	39	-1	0	boat_7_upper_it		NaN	0	0	0	32.9322438787785	33.0322452684632	0.100001389684621
47093	100	12	2	left-right	0	12	4	-1	3	-1	0	stim004_animate_fish_4.png		NaN	0	0	0	33.1322339801118	33.232418470725	0.100184490613174
47293	100	13	2	left-right	0	13	4	-1	-1	43	0		tree_8_upper_it	NaN	0	0	0	33.3322591899778	33.4322610673262	0.100001877348404
47493	100	14	2	left-right	0	14	4	-1	22	-1	0	stim023_inanimate_tools_3.png		NaN	0	0	0	33.5322590437136	33.6322636029217	0.100004559208173
47693	100	15	2	left-right	0	15	4	-1	-1	47	0		tool_9_upper_it	NaN	0	0	0	33.7322666993132	33.8322639442631	0.0999972449499182
47893	100	16	2	left-right	0	16	4	-1	-1	36	0		boat_4_lower	NaN	0	0	0	33.9322672844864	34.0322811084916	0.100013824005146
48093	100	17	2	left-right	0	17	4	-1	21	-1	0	stim022_inanimate_tools_2.png		NaN	0	0	0	34.1322707952932	34.2322899831343	0.100019187841099
48293	100	18	2	left-right	0	18	4	-1	24	-1	0	fish_1_lower		NaN	0	0	0	34.3322862528148	34.4322725263773	0.0999862735625356
48493	100	19	2	left-right	0	19	4	-1	-1	45	0		tool_7_lower_it	NaN	0	0	0	34.5322880570311	34.6322806695825	0.0999926125514321
48693	100	20	2	left-right	0	20	4	-1	-1	13	0		stim014_inanimate_boats_2.png	NaN	0	0	0	34.7322918117279	34.8322853994905	0.099993587762583
48893	100	21	2	left-right	0	21	4	-1	32	-1	0	face_3_lower		NaN	0	0	0	34.9323011739762	35.032299881801	0.0999987078248523
49093	100	22	2	left-right	0	22	4	-1	40	-1	0	tree_5_lower		NaN	0	0	0	35.1322783534415	35.2323036364396	0.100025282998104
49293	100	23	2	left-right	0	23	4	-1	-1	9	0		stim010_animate_face_2.png	NaN	0	0	0	35.3323147785268	35.4323129987461	0.0999982202192768
49493	100	24	2	left-right	0	24	4	-1	-1	24	0		fish_1_lower	NaN	0	0	0	35.532307561778	35.63231260865	0.100005046871956
49693	100	25	2	left-right	0	25	4	-1	23	-1	0	stim024_inanimate_tools_4.png		NaN	0	0	0	35.7323037583847	35.8323205080815	0.100016749696806
